execucao,modelo_base,acuracia,precisao,recall,f1,erro_treino,media_erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
1,convnext,0.9268,0.9331945565849585,0.9267999999999998,0.9264922771168751,0.049988652622658294,0.06650711801314454,0.2701320015843127,6627.417255401611,27.057621479034424,6654.474876880646
2,convnext,0.9484,0.949290159051572,0.9483999999999998,0.9481344439175903,0.049371924606965295,0.06641117364575272,0.18632719122691993,6621.820910215378,27.07264018058777,6648.893550395966
3,convnext,0.9439,0.9452664807942834,0.9439,0.9435607272614572,0.044327319920648964,0.06628808201563989,0.2066559116860294,7666.752190589905,37.688438177108765,7704.440628767014
4,convnext,0.9464,0.9476333984663741,0.9463999999999999,0.9463802830511725,0.04797163070641015,0.06656419039675719,0.18550536597064535,9346.438616037369,27.181302070617676,9373.619918107986
5,convnext,0.944,0.9455515824230686,0.944,0.9440934680531953,0.04832768554726611,0.06646119673372261,0.19380264679432674,6623.26558303833,27.075984477996826,6650.341567516327
6,convnext,0.9521,0.9526622636575732,0.9521,0.9517648961495786,0.045272177373787956,0.0661958577633198,0.1741808904275583,6622.156387329102,27.130606651306152,6649.286993980408
7,convnext,0.9524,0.9528419172602707,0.9524000000000001,0.9523778239105269,0.045846965961882376,0.06695301840439097,0.1682772969806294,8033.196864128113,36.39770436286926,8069.594568490982
8,convnext,0.9523,0.9525530694461594,0.9522999999999999,0.9521653273015144,0.05276912007667839,0.06701642887524702,0.15855601286088492,11448.898792505264,42.95988583564758,11491.858678340912
9,convnext,0.9152,0.922456659780442,0.9152000000000001,0.9152276523494971,0.04875807155138346,0.06643063895855808,0.33014454948864164,10384.524912834167,27.037975311279297,10411.562888145447
10,convnext,0.9491,0.9500797099202298,0.9490999999999999,0.9489738479687098,0.05231882634056408,0.06650159404023955,0.1770862719922024,6621.149194955826,27.14771342277527,6648.296908378601
