execucao,modelo_base,acuracia,precisao,recall,f1,erro_treino,media_erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
1,inception_v3,0.9409,0.9419888663761526,0.9409000000000001,0.9411474712302079,0.04997079036227735,0.09797465524365069,0.21876832484534592,5980.716607570648,33.77688241004944,6014.493489980698
2,inception_v3,0.9371,0.9381258406350105,0.9371,0.9371780910856978,0.05128489385547755,0.09832126875529074,0.22216514032927287,8652.742587804794,48.1011004447937,8700.843688249588
3,inception_v3,0.9391,0.939316118703642,0.9391,0.939083258525087,0.06215380602474551,0.09844265641541976,0.1988992707412334,12118.320374965668,68.01636672019958,12186.336741685867
4,inception_v3,0.9392,0.939700004881756,0.9391999999999999,0.9392093029982757,0.05673201037945983,0.09858072526980816,0.1998424609636615,6086.624847173691,33.853246450424194,6120.478093624115
5,inception_v3,0.9347,0.9367332834951908,0.9347,0.9351489765300813,0.050083131935802355,0.09775745759151229,0.23736631210632386,7040.545177221298,39.69885277748108,7080.244029998779
6,inception_v3,0.9352,0.9359731800827449,0.9352,0.9353189728069584,0.04881215285342496,0.09794520567019825,0.22018355828751424,7485.377742767334,40.885514974594116,7526.263257741928
7,inception_v3,0.9395,0.940378226404581,0.9395000000000001,0.9397030587244132,0.04872293864457827,0.0989441443282469,0.2073742715867272,8454.040354728699,49.06047511100769,8503.100829839706
8,inception_v3,0.9332,0.9348173466276826,0.9331999999999999,0.9336813095323597,0.05631601616211445,0.09885260344507076,0.22584376410598966,7047.937796354294,33.911649227142334,7081.849445581436
9,inception_v3,0.9349,0.9360509556643638,0.9349000000000001,0.9345625782700138,0.04655091837673779,0.09804038710224079,0.2149468818026933,5980.850462198257,33.89675951004028,6014.747221708298
10,inception_v3,0.9379,0.939086631396217,0.9379,0.9378884835396585,0.04909219634582234,0.09801465220987966,0.21281126219257238,5985.752805709839,33.918741941452026,6019.671547651291
